,score,time,label,n,subject,contrast
0,0.08935956128416445,-0.2,t0_s0_h0,327,01,wordfreq
1,-0.10038437214923146,-0.18,t0_s0_h0,327,01,wordfreq
2,-0.1052368279710303,-0.16,t0_s0_h0,327,01,wordfreq
3,-0.03188272869699538,-0.14,t0_s0_h0,327,01,wordfreq
4,-0.12419643053377244,-0.12,t0_s0_h0,327,01,wordfreq
5,0.016195091910556306,-0.1,t0_s0_h0,327,01,wordfreq
6,-0.037059532501615935,-0.08,t0_s0_h0,327,01,wordfreq
7,0.03383620210691036,-0.06,t0_s0_h0,327,01,wordfreq
8,-0.04326667508384097,-0.04,t0_s0_h0,327,01,wordfreq
9,-0.057797624410548164,-0.02,t0_s0_h0,327,01,wordfreq
10,-0.07715526300729501,0.0,t0_s0_h0,327,01,wordfreq
11,-0.0642819215778946,0.02,t0_s0_h0,327,01,wordfreq
12,-0.05603858454059264,0.04,t0_s0_h0,327,01,wordfreq
13,-0.04900426818535738,0.06,t0_s0_h0,327,01,wordfreq
14,0.11330094578604588,0.08,t0_s0_h0,327,01,wordfreq
15,0.08586031628735281,0.1,t0_s0_h0,327,01,wordfreq
16,0.11545324060516311,0.12,t0_s0_h0,327,01,wordfreq
17,-0.04923014702651069,0.14,t0_s0_h0,327,01,wordfreq
18,0.0052567999140513836,0.16,t0_s0_h0,327,01,wordfreq
19,0.0899641917593888,0.18,t0_s0_h0,327,01,wordfreq
20,0.1343547779150368,0.2,t0_s0_h0,327,01,wordfreq
21,-0.014358273415415419,0.22,t0_s0_h0,327,01,wordfreq
22,0.07589283354949124,0.24,t0_s0_h0,327,01,wordfreq
23,0.0799625772781165,0.26,t0_s0_h0,327,01,wordfreq
24,0.12942749585656227,0.28,t0_s0_h0,327,01,wordfreq
25,0.027654284941475822,0.3,t0_s0_h0,327,01,wordfreq
26,0.07704814882717292,0.32,t0_s0_h0,327,01,wordfreq
27,0.08302838656706722,0.34,t0_s0_h0,327,01,wordfreq
28,0.0022489478214478757,0.36,t0_s0_h0,327,01,wordfreq
29,0.03863718522814786,0.38,t0_s0_h0,327,01,wordfreq
30,-0.014731805972315062,0.4,t0_s0_h0,327,01,wordfreq
31,0.08112552159858606,0.42,t0_s0_h0,327,01,wordfreq
32,0.024469840508237636,0.44,t0_s0_h0,327,01,wordfreq
33,0.15355150968392048,0.46,t0_s0_h0,327,01,wordfreq
34,0.07170891899674603,0.48,t0_s0_h0,327,01,wordfreq
35,0.00217465232432297,0.5,t0_s0_h0,327,01,wordfreq
36,0.033848908446744576,0.52,t0_s0_h0,327,01,wordfreq
37,0.070344111227221,0.54,t0_s0_h0,327,01,wordfreq
38,-0.0004770740788003415,0.56,t0_s0_h0,327,01,wordfreq
39,-0.00026688539535710027,0.58,t0_s0_h0,327,01,wordfreq
40,0.06677234981874945,0.6,t0_s0_h0,327,01,wordfreq
41,-0.01558093771655277,-0.2,t0_s0_h1,341,01,wordfreq
42,-0.060539060353005957,-0.18,t0_s0_h1,341,01,wordfreq
43,0.011087111726518646,-0.16,t0_s0_h1,341,01,wordfreq
44,0.055833103672785746,-0.14,t0_s0_h1,341,01,wordfreq
45,0.014272233524219767,-0.12,t0_s0_h1,341,01,wordfreq
46,-0.006378862202728842,-0.1,t0_s0_h1,341,01,wordfreq
47,-0.0027145105661767126,-0.08,t0_s0_h1,341,01,wordfreq
48,-0.1062496220259784,-0.06,t0_s0_h1,341,01,wordfreq
49,-0.04188296962314847,-0.04,t0_s0_h1,341,01,wordfreq
50,-0.06543627600144365,-0.02,t0_s0_h1,341,01,wordfreq
51,-0.18335155294812258,0.0,t0_s0_h1,341,01,wordfreq
52,0.05974263870240326,0.02,t0_s0_h1,341,01,wordfreq
53,-0.033103640471448086,0.04,t0_s0_h1,341,01,wordfreq
54,-0.01199578221212644,0.06,t0_s0_h1,341,01,wordfreq
55,0.030372968556309242,0.08,t0_s0_h1,341,01,wordfreq
56,0.06143238739357265,0.1,t0_s0_h1,341,01,wordfreq
57,0.02575534407624744,0.12,t0_s0_h1,341,01,wordfreq
58,0.03839447117972702,0.14,t0_s0_h1,341,01,wordfreq
59,0.12061413333211479,0.16,t0_s0_h1,341,01,wordfreq
60,0.15228620064708065,0.18,t0_s0_h1,341,01,wordfreq
61,0.07862880073008106,0.2,t0_s0_h1,341,01,wordfreq
62,0.013807280187569333,0.22,t0_s0_h1,341,01,wordfreq
63,0.09982141549371673,0.24,t0_s0_h1,341,01,wordfreq
64,0.0809763303253394,0.26,t0_s0_h1,341,01,wordfreq
65,0.08267446857401606,0.28,t0_s0_h1,341,01,wordfreq
66,0.023265915037103527,0.3,t0_s0_h1,341,01,wordfreq
67,0.008721279321948312,0.32,t0_s0_h1,341,01,wordfreq
68,0.14045335274523058,0.34,t0_s0_h1,341,01,wordfreq
69,0.044243509502475784,0.36,t0_s0_h1,341,01,wordfreq
70,0.06790611028995762,0.38,t0_s0_h1,341,01,wordfreq
71,0.037585012934355636,0.4,t0_s0_h1,341,01,wordfreq
72,0.027540266097930876,0.42,t0_s0_h1,341,01,wordfreq
73,-0.00482483621665989,0.44,t0_s0_h1,341,01,wordfreq
74,0.13070449874294,0.46,t0_s0_h1,341,01,wordfreq
75,-0.016339746903274097,0.48,t0_s0_h1,341,01,wordfreq
76,0.09835461810730595,0.5,t0_s0_h1,341,01,wordfreq
77,0.06711558377851237,0.52,t0_s0_h1,341,01,wordfreq
